no,node0,edge1,node1,edge2,node2,edge3,node3,edge4,node4,edge5,node5,edge6,node6,edge7,node7,edge8,node8
1,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,GitHub,,,,
2,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,Shogidokoro,,Engine,,Lesserkai.exe
3,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,Shogidokoro,,Engine,,Lesserkai_ja.txt
4,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,Shogidokoro,,Engine,,public.bin
5,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,Shogidokoro,,ja,,Shogidokoro.resources.dll
6,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,Shogidokoro,,Engine.xml,,
7,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,Shogidokoro,,GameResult.xml,,
8,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,Shogidokoro,,Shogidokoro.exe,,
9,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,Shogidokoro,,Shogidokoro.xml,,
10,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,Shogidokoro,,お読みください.txt,,
11,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,Shogidokoro.zip,,,,
12,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,Visual Studio 2022,,,,
13,C,,Users,,Muzudho,,OneDrive,,Documents,,Tools,,Default.rdp,,,,
